regime,alpha,VaR_emp_pct,ES_emp_pct,VaR_t_pct,ES_t_pct
R1,0.05,-0.2425647924620232,-0.3649788527756273,-0.23691422692609976,-0.40356976890309254
R1,0.01,-0.3571308786209614,-0.5710718118081115,-0.4744393374583448,-0.7513060373369381
R2,0.05,-0.4156036267845848,-0.6004051264766384,-0.3867578373518889,-0.5462244588883746
R2,0.01,-0.6712262717128668,-0.910587701359287,-0.6335003247903768,-0.8286328621648598
R3,0.05,-0.37809284702768914,-0.5354954431077624,-0.3824171382557878,-0.5077930204550687
R3,0.01,-0.6211560676338798,-0.7696693344803275,-0.5840715983616679,-0.702434602063124
R4,0.05,-0.5510170900607873,-0.6351817597716629,-0.5784404904225265,-0.7994658898042708
R4,0.01,-0.701118961703087,-0.7144943694012832,-0.92861692427999,-1.1636348086791233
