alpha,VaR_emp_pct,ES_emp_pct,VaR_gauss_pct,ES_gauss_pct
0.05,-0.41297325093949566,-0.5728884714297022,-0.4211753553414893,-0.5333409776495348
0.01,-0.6652344600625516,-0.8012861850214483,-0.6041083382244542,-0.6950699740606705
