scope,alpha,segment,weight,component_VaR_pct,share_VaR_%,component_ES_pct,share_ES_%,VaR_portfolio_pct,ES_portfolio_pct
Unconditional,95%,OFZ_short,0.14285714285714285,-0.03369327425112374,8.541087821988874,-0.05532862696264617,8.675934836901819,-0.3944845779993156,-0.637725248088701
Unconditional,95%,OFZ_med,0.14285714285714285,-0.015826052662746483,4.0118305113499115,-0.026584219980690233,4.168600829332798,-0.3944845779993156,-0.637725248088701
Unconditional,95%,OFZ_long,0.14285714285714285,-0.0403588435763162,10.230778546781675,-0.06429828405303152,10.082442908719255,-0.3944845779993156,-0.637725248088701
Unconditional,95%,Corp_L1,0.14285714285714285,-0.05872278003001372,14.885950758286832,-0.09516854535630913,14.923126478296837,-0.3944845779993156,-0.637725248088701
Unconditional,95%,Corp_L2,0.14285714285714285,-0.03969703921254785,10.063014228306974,-0.06495990860543505,10.186190495064073,-0.3944845779993156,-0.637725248088701
Unconditional,95%,Corp_L3,0.14285714285714285,-0.11295778994495997,28.634272730721545,-0.18098587856612314,28.379914251246618,-0.3944845779993156,-0.637725248088701
Unconditional,95%,MBS,0.14285714285714285,-0.09322879832160764,23.633065402564203,-0.1503997845644659,23.58379020043861,-0.3944845779993156,-0.637725248088701
Unconditional,99%,OFZ_short,0.14285714285714285,-0.06526117115666642,8.708522823126117,-0.09877592864168741,8.770789296223082,-0.749394271360932,-1.1261920142605952
Unconditional,99%,OFZ_med,0.14285714285714285,-0.03152317215572143,4.206486940242285,-0.04818836700840992,4.278876638993764,-0.749394271360932,-1.1261920142605952
Unconditional,99%,OFZ_long,0.14285714285714285,-0.07528860871681467,10.046595176139704,-0.11237256813278076,9.978100244882247,-0.749394271360932,-1.1261920142605952
Unconditional,99%,Corp_L1,0.14285714285714285,-0.11190038142180248,14.932110598949016,-0.16835756067621116,14.949276725847396,-0.749394271360932,-1.1261920142605952
Unconditional,99%,Corp_L2,0.14285714285714285,-0.07655780442245019,10.215958054151915,-0.11569185286472285,10.272835484513775,-0.749394271360932,-1.1261920142605952
Unconditional,99%,Corp_L3,0.14285714285714285,-0.21221679981218972,28.318444365313194,-0.3175973278168735,28.200992707748245,-0.749394271360932,-1.1261920142605952
Unconditional,99%,MBS,0.14285714285714285,-0.17664633367528715,23.571882042077778,-0.2652084091199096,23.549128901791498,-0.749394271360932,-1.1261920142605952
